player_id,match_id,rating,min_played,goals,assists,yellow_card,red_card
13,7,8.8,59,1,1,0,0
13,8,7.4,63,0,0,0,0
13,9,6.2,59,0,0,0,0
13,12,8.7,15,2,0,0,0
13,18,,2,0,0,0,0
13,19,6.3,13,0,0,0,0
13,20,6.7,46,0,0,0,0
14,1,6.5,27,0,0,1,0
15,2,6.6,28,0,0,1,0
15,3,,1,0,0,0,0
15,4,6.8,30,0,0,0,0
15,12,6.7,25,0,0,0,0
15,13,8.5,61,0,2,0,0
15,14,6.5,46,0,0,0,0
15,15,6.9,35,0,0,0,0
15,16,7.7,33,1,0,0,0
15,17,6.7,69,0,0,0,0
15,18,5.5,16,0,0,1,0
15,19,7.9,78,0,0,0,0
15,20,6.2,57,0,0,0,0
15,21,,4,0,0,0,0
15,23,7.2,20,0,1,0,0
15,24,6.7,25,0,0,0,0
16,1,7.0,90,0,0,0,0
16,4,6.7,61,0,0,0,0
16,5,7.2,90,0,1,0,0
16,6,6.8,90,0,1,1,0
16,7,7.1,32,0,0,0,0
16,8,7.3,90,0,0,0,0
16,9,6.4,21,0,0,0,0
16,10,7.1,90,0,0,0,0
16,11,7.4,90,0,0,0,0
16,12,7.1,90,0,0,0,0
16,13,7.5,90,0,1,0,0
16,14,7.6,65,0,1,1,0
16,15,8.1,56,0,1,0,0
16,16,7.7,90,0,0,0,0
16,17,6.3,90,0,0,0,0
16,18,6.0,82,0,0,2,1
16,19,7.8,90,0,0,0,0
16,21,6.9,82,0,0,1,0
16,22,6.8,90,0,0,0,0
16,23,7.0,90,0,0,0,0
16,24,6.8,80,0,0,0,0
17,1,,5,0,0,0,0
17,2,,1,0,0,0,0
17,3,,1,0,0,0,0
17,5,6.1,22,0,0,1,0
17,7,6.8,32,0,1,1,0
17,8,7.7,59,1,0,0,0
17,9,6.4,16,0,0,0,0
17,12,6.5,25,0,0,0,0
17,13,,6,0,0,0,0
17,16,6.4,13,0,0,0,0
17,17,,1,2,0,0,0,0
17,18,,2,0,0,0,0
17,20,,1,0,0,0,0
17,21,7.4,18,1,0,0,0
17,22,6.0,17,0,0,0,0
17,23,,1,0,0,0,0
17,24,6.4,11,0,0,0,0
18,1,7.7,86,0,1,0,0
18,2,7.8,90,1,0,0,0
18,3,8.1,90,0,1,0,0
18,4,8.1,90,0,2,0,0
18,5,8.9,90,2,0,1,0
18,6,6.9,80,1,0,0,0
18,7,7.5,90,0,1,0,0
18,8,7.5,90,0,0,0,0
18,9,7.8,32,1,0,0,0
18,10,7.6,75,0,0,0,0
18,11,7.7,67,0,0,0,0
18,12,7.7,76,0,1,0,0
18,13,7.9,85,0,1,0,0
18,14,7.9,90,1,0,0,0
18,15,7.8,90,0,1,0,0
18,16,8.3,90,0,0,0,0
18,20,6.4,45,0,0,0,0
18,21,7.2,90,0,1,0,0
18,22,7.4,90,0,1,0,0
18,23,8.0,90,0,1,0,0
18,24,6.8,75,0,0,0,0
19,3,8.1,45,1,0,0,0
19,4,7.9,83,1,0,0,0
19,5,7.0,82,0,0,1,0
19,6,8.3,61,1,0,0,0
19,13,6.8,16,0,0,0,0
19,14,6.5,26,0,0,0,0
19,15,9.6,56,2,0,0,0
19,16,6.4,33,0,0,0,0
19,17,6.6,45,0,0,0,0
19,18,6.9,89,0,0,0,0
19,19,8.2,67,1,0,0,0
19,21,7.1,72,0,0,0,0
19,22,6.8,60,0,0,0,0
19,23,7.9,71,0,1,0,0
19,24,6.8,66,0,0,0,0
20,10,6.6,16,0,0,0,0
20,11,,10,0,0,0,0
20,13,6.8,30,0,0,0,0
20,14,6.5,45,0,0,0,0
20,15,6.5,35,0,0,0,0
20,16,7.7,67,0,0,0,0
20,17,6.8,46,0,0,0,0
20,18,6.3,16,0,0,0,0
20,19,,3,0,0,0,0
20,20,6.4,34,0,0,0,0
20,21,8.5,19,1,1,0,0
20,22,6.2,31,0,0,1,0
20,23,6.2,20,0,0,0,0
21,1,6.4,90,0,0,1,0
21,2,7.2,90,0,0,0,0
21,3,7.0,90,0,0,0,0
21,4,7.9,90,1,0,0,0
21,5,7.6,90,0,1,0,0
21,6,6.4,90,0,0,0,0
21,7,7.6,90,0,0,0,0
21,8,7.7,90,0,0,0,0
21,9,6.6,90,0,0,0,0
21,10,6.9,90,0,0,0,0
21,11,7.0,24,0,0,0,0
21,12,6.8,90,0,0,0,0
21,13,7.4,90,0,0,0,0
21,14,6.9,90,0,0,1,0
21,15,6.9,13,0,0,0,0
21,16,8.3,90,0,3,0,0
21,17,6.5,84,0,0,0,0
21,18,7.2,90,0,1,0,0
21,19,7.3,90,0,0,0,0
21,20,6.5,56,0,0,0,0
21,21,7.1,90,0,0,0,0
21,22,7.2,90,0,1,0,0
21,23,7.1,90,0,0,0,0
21,24,7.5,90,0,0,0,0
22,1,6.7,20,0,0,0,0
22,2,,8,0,0,0,0
22,4,7.2,30,0,0,0,0
22,5,6.5,30,0,0,0,0
22,6,3.8,11,0,0,0,1
22,7,7.0,90,0,0,0,0
22,8,6.9,90,0,0,0,0
22,9,6.6,90,0,0,0,0
22,11,6.8,85,0,1,0,0
22,21,,9,0,0,0,0
